[P2 M:-1 W/V: 528/100000 %_win: 0.01, SFB: 0.00, U: 0]
| [P1 M:1 W/V: 300/389 %_win: 0.77, SFB: 1.00, U: 0]
| | [P2 M:3 W/V: 16/64 %_win: 0.25, SFB: 0.00, U: 0]
| | | [P1 M:6 W/V: 5/8 %_win: 0.62, SFB: 0.00, U: 0]
| | | | [P2 M:1 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:6 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:2 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | [P1 M:2 W/V: 20/20 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 7/10 %_win: 0.70, SFB: 0.50, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 4]
| | | | [P2 M:1 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:2 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | [P1 M:5 W/V: 1/5 %_win: 0.20, SFB: 0.00, U: 2]
| | | | [P2 M:6 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | | [P2 M:1 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 5]
| | | [P1 M:1 W/V: 8/11 %_win: 0.73, SFB: 0.50, U: 0]
| | | | [P2 M:0 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:2 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 4]
| | | | [P2 M:4 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:5 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:6 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | [P1 M:0 W/V: 6/9 %_win: 0.67, SFB: 0.50, U: 0]
| | | | [P2 M:6 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 5]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:1 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:0 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 4]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | [P2 M:0 W/V: 13/57 %_win: 0.23, SFB: 0.00, U: 0]
| | | [P1 M:1 W/V: 5/7 %_win: 0.71, SFB: 0.00, U: 0]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:3 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:2 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | [P1 M:0 W/V: 5/7 %_win: 0.71, SFB: 0.00, U: 0]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:5 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | | [P2 M:3 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:1 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:2 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | [P1 M:3 W/V: 5/7 %_win: 0.71, SFB: 0.00, U: 0]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 5]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:1 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 5]
| | | [P1 M:5 W/V: 4/7 %_win: 0.57, SFB: 0.00, U: 1]
| | | | [P2 M:6 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 7]
| | | | [P2 M:3 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:1 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:5 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 7]
| | | | [P2 M:2 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 7]
| | | [P1 M:2 W/V: 14/14 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 5/7 %_win: 0.71, SFB: 0.00, U: 1]
| | | | [P2 M:2 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 7]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 6]
| | | | [P2 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 6]
| | | | [P2 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 7]
