[P1 M:-1 W/V: 9023/10000 %_win: 0.90, SFB: -1.00, U: 0]
| [P2 M:5 W/V: 155/1529 %_win: 0.10, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 85/112 %_win: 0.76, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 52/76 %_win: 0.68, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 82/108 %_win: 0.76, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 894/894 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 64/89 %_win: 0.72, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 147/176 %_win: 0.84, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 49/73 %_win: 0.67, SFB: -1.00, U: 0]
| [P2 M:4 W/V: 128/1354 %_win: 0.09, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 813/813 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 88/114 %_win: 0.77, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 118/145 %_win: 0.81, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 71/96 %_win: 0.74, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 56/80 %_win: 0.70, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 80/105 %_win: 0.76, SFB: -1.00, U: 0]
| [P2 M:6 W/V: 151/1503 %_win: 0.10, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 41/64 %_win: 0.64, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 72/98 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 976/976 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 47/71 %_win: 0.66, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 74/100 %_win: 0.74, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 49/73 %_win: 0.67, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 92/120 %_win: 0.77, SFB: -1.00, U: 0]
| [P2 M:0 W/V: 157/1542 %_win: 0.10, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 70/96 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 80/107 %_win: 0.75, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 70/96 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 59/84 %_win: 0.70, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 88/115 %_win: 0.77, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 71/97 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 946/946 %_win: 1.00, SFB: -1.00, U: 0]
| [P2 M:3 W/V: 127/1348 %_win: 0.09, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 794/794 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 77/102 %_win: 0.75, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 81/106 %_win: 0.76, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 103/129 %_win: 0.80, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 74/99 %_win: 0.75, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 91/117 %_win: 0.78, SFB: -1.00, U: 0]
| [P2 M:1 W/V: 157/1542 %_win: 0.10, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 72/98 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 96/124 %_win: 0.77, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 946/946 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 72/98 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 70/96 %_win: 0.73, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 65/91 %_win: 0.71, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 63/88 %_win: 0.72, SFB: -1.00, U: 0]
| [P2 M:2 W/V: 102/1182 %_win: 0.09, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 11/28 %_win: 0.39, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 8/24 %_win: 0.33, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 1010/1010 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 18/37 %_win: 0.49, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 11/28 %_win: 0.39, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 12/29 %_win: 0.41, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 9/25 %_win: 0.36, SFB: -1.00, U: 0]
