[P2 M:-1 W/V: 69351/100000 %_win: 0.69, SFB: 0.68, U: 0]
| [P1 M:6 W/V: 13771/43799 %_win: 0.31, SFB: 0.32, U: 0]
| | [P2 M:4 W/V: 31/108 %_win: 0.29, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 4/10 %_win: 0.40, SFB: 0.40, U: 0]
| | | [P1 M:0 W/V: 6/12 %_win: 0.50, SFB: 0.50, U: 0]
| | | [P1 M:4 W/V: 61/61 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 1/7 %_win: 0.14, SFB: 0.14, U: 0]
| | | [P1 M:5 W/V: 2/8 %_win: 0.25, SFB: 0.25, U: 0]
| | | [P1 M:1 W/V: 3/9 %_win: 0.33, SFB: 0.33, U: 0]
| | [P2 M:2 W/V: 1945/3000 %_win: 0.65, SFB: 0.59, U: 0]
| | | [P1 M:5 W/V: 229/674 %_win: 0.34, SFB: 0.34, U: 0]
| | | [P1 M:1 W/V: 29/161 %_win: 0.18, SFB: 0.18, U: 0]
| | | [P1 M:4 W/V: 33/173 %_win: 0.19, SFB: 0.19, U: 0]
| | | [P1 M:0 W/V: 243/707 %_win: 0.34, SFB: 0.34, U: 0]
| | | [P1 M:6 W/V: 521/1284 %_win: 0.41, SFB: 0.41, U: 0]
| | [P2 M:5 W/V: 6884/10027 %_win: 0.69, SFB: 0.65, U: 0]
| | | [P1 M:4 W/V: 55/325 %_win: 0.17, SFB: 0.17, U: 0]
| | | [P1 M:5 W/V: 1673/4839 %_win: 0.35, SFB: 0.35, U: 0]
| | | [P1 M:0 W/V: 366/1275 %_win: 0.29, SFB: 0.29, U: 0]
| | | [P1 M:1 W/V: 46/294 %_win: 0.16, SFB: 0.16, U: 0]
| | | [P1 M:6 W/V: 710/2230 %_win: 0.32, SFB: 0.32, U: 0]
| | | [P1 M:2 W/V: 293/1063 %_win: 0.28, SFB: 0.28, U: 0]
| | [P2 M:1 W/V: 3320/4976 %_win: 0.67, SFB: 0.62, U: 0]
| | | [P1 M:5 W/V: 50/263 %_win: 0.19, SFB: 0.19, U: 0]
| | | [P1 M:1 W/V: 1451/3807 %_win: 0.38, SFB: 0.38, U: 0]
| | | [P1 M:6 W/V: 49/259 %_win: 0.19, SFB: 0.19, U: 0]
| | | [P1 M:4 W/V: 28/191 %_win: 0.15, SFB: 0.15, U: 0]
| | | [P1 M:2 W/V: 32/205 %_win: 0.16, SFB: 0.16, U: 0]
| | | [P1 M:0 W/V: 46/250 %_win: 0.18, SFB: 0.18, U: 0]
| | [P2 M:0 W/V: 11421/16305 %_win: 0.70, SFB: 0.68, U: 0]
| | | [P1 M:2 W/V: 641/2260 %_win: 0.28, SFB: 0.28, U: 0]
| | | [P1 M:5 W/V: 925/3110 %_win: 0.30, SFB: 0.30, U: 0]
| | | [P1 M:1 W/V: 58/384 %_win: 0.15, SFB: 0.15, U: 0]
| | | [P1 M:0 W/V: 1957/6115 %_win: 0.32, SFB: 0.32, U: 0]
| | | [P1 M:4 W/V: 56/376 %_win: 0.15, SFB: 0.15, U: 0]
| | | [P1 M:6 W/V: 1247/4059 %_win: 0.31, SFB: 0.31, U: 0]
| | [P2 M:6 W/V: 6426/9382 %_win: 0.68, SFB: 0.66, U: 0]
| | | [P1 M:4 W/V: 54/313 %_win: 0.17, SFB: 0.17, U: 0]
| | | [P1 M:5 W/V: 739/2274 %_win: 0.32, SFB: 0.32, U: 0]
| | | [P1 M:2 W/V: 385/1301 %_win: 0.30, SFB: 0.30, U: 0]
| | | [P1 M:6 W/V: 1096/3207 %_win: 0.34, SFB: 0.34, U: 0]
| | | [P1 M:0 W/V: 628/1973 %_win: 0.32, SFB: 0.32, U: 0]
| | | [P1 M:1 W/V: 54/313 %_win: 0.17, SFB: 0.17, U: 0]
| [P1 M:1 W/V: 77/567 %_win: 0.14, SFB: 0.00, U: 0]
| | [P2 M:0 W/V: 33/48 %_win: 0.69, SFB: 0.60, U: 0]
| | | [P1 M:1 W/V: 4/10 %_win: 0.40, SFB: 0.40, U: 0]
| | | [P1 M:4 W/V: 0/5 %_win: 0.00, SFB: 0.00, U: 2]
| | | [P1 M:6 W/V: 3/9 %_win: 0.33, SFB: 0.33, U: 0]
| | | [P1 M:2 W/V: 3/9 %_win: 0.33, SFB: 0.33, U: 0]
| | | [P1 M:5 W/V: 3/8 %_win: 0.38, SFB: 0.38, U: 0]
| | | [P1 M:0 W/V: 1/6 %_win: 0.17, SFB: 0.17, U: 0]
| | [P2 M:2 W/V: 43/60 %_win: 0.72, SFB: 0.50, U: 0]
| | | [P1 M:0 W/V: 1/9 %_win: 0.11, SFB: 0.11, U: 0]
| | | [P1 M:4 W/V: 1/9 %_win: 0.11, SFB: 0.11, U: 0]
| | | [P1 M:5 W/V: 1/9 %_win: 0.11, SFB: 0.11, U: 0]
| | | [P1 M:1 W/V: 10/20 %_win: 0.50, SFB: 0.50, U: 0]
| | | [P1 M:6 W/V: 3/12 %_win: 0.25, SFB: 0.25, U: 0]
| | [P2 M:4 W/V: 11/24 %_win: 0.46, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 2/4 %_win: 0.50, SFB: 0.50, U: 3]
| | | [P1 M:4 W/V: 9/9 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 5]
| | | [P1 M:2 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 4]
| | | [P1 M:0 W/V: 2/4 %_win: 0.50, SFB: 0.50, U: 3]
| | | [P1 M:1 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 5]
| | [P2 M:1 W/V: 345/345 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:6 W/V: 27/42 %_win: 0.64, SFB: 0.45, U: 0]
| | | [P1 M:6 W/V: 1/5 %_win: 0.20, SFB: 0.20, U: 2]
| | | [P1 M:5 W/V: 1/5 %_win: 0.20, SFB: 0.20, U: 2]
| | | [P1 M:2 W/V: 0/4 %_win: 0.00, SFB: 0.00, U: 2]
| | | [P1 M:0 W/V: 4/8 %_win: 0.50, SFB: 0.50, U: 0]
| | | [P1 M:4 W/V: 3/8 %_win: 0.38, SFB: 0.38, U: 0]
| | | [P1 M:1 W/V: 6/11 %_win: 0.55, SFB: 0.55, U: 0]
| | [P2 M:5 W/V: 31/47 %_win: 0.66, SFB: 0.45, U: 0]
| | | [P1 M:2 W/V: 3/8 %_win: 0.38, SFB: 0.38, U: 0]
| | | [P1 M:0 W/V: 1/6 %_win: 0.17, SFB: 0.17, U: 1]
| | | [P1 M:6 W/V: 3/8 %_win: 0.38, SFB: 0.38, U: 0]
| | | [P1 M:5 W/V: 1/6 %_win: 0.17, SFB: 0.17, U: 1]
| | | [P1 M:4 W/V: 2/7 %_win: 0.29, SFB: 0.29, U: 0]
| | | [P1 M:1 W/V: 6/11 %_win: 0.55, SFB: 0.55, U: 0]
