[P2 M:-1 W/V: 10784/100000 %_win: 0.11, SFB: 0.00, U: 0]
| [P1 M:5 W/V: 20112/20112 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:0 W/V: 17280/19951 %_win: 0.87, SFB: 1.00, U: 0]
| | [P2 M:6 W/V: 361/5068 %_win: 0.07, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 1736/1736 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 1445/1614 %_win: 0.90, SFB: 1.00, U: 0]
| | | | [P2 M:3 W/V: 0/502 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 243/243 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:2 W/V: 258/258 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:5 W/V: 84/560 %_win: 0.15, SFB: 0.00, U: 0]
| | | | | [P1 M:2 W/V: 210/210 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:3 W/V: 77/161 %_win: 0.48, SFB: 0.48, U: 0]
| | | | | [P1 M:5 W/V: 188/188 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:2 W/V: 85/551 %_win: 0.15, SFB: 0.00, U: 0]
| | | | | [P1 M:3 W/V: 91/176 %_win: 0.52, SFB: 0.52, U: 0]
| | | | | [P1 M:5 W/V: 184/184 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:2 W/V: 190/190 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 1526/1717 %_win: 0.89, SFB: 1.00, U: 0]
| | | | [P2 M:5 W/V: 191/870 %_win: 0.22, SFB: 0.00, U: 0]
| | | | | [P1 M:2 W/V: 240/431 %_win: 0.56, SFB: 0.56, U: 0]
| | | | | [P1 M:5 W/V: 438/438 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:2 W/V: 0/846 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 418/418 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:2 W/V: 427/427 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:5 W/V: 1688/4987 %_win: 0.34, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 720/1246 %_win: 0.58, SFB: 0.00, U: 0]
| | | | [P2 M:5 W/V: 334/334 %_win: 1.00, SFB: 1.00, U: 0]
