[P2 M:-1 W/V: 10784/100000 %_win: 0.11, SFB: 0.00, U: 0]
| [P1 M:5 W/V: 20112/20112 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:0 W/V: 17280/19951 %_win: 0.87, SFB: 0.66, U: 0]
| | [P2 M:6 W/V: 361/5068 %_win: 0.07, SFB: 0.07, U: 0]
| | | [P1 M:5 W/V: 1736/1736 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1445/1614 %_win: 0.90, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 1526/1717 %_win: 0.89, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 1688/4987 %_win: 0.34, SFB: 0.34, U: 0]
| | | [P1 M:2 W/V: 720/1246 %_win: 0.58, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 680/1260 %_win: 0.54, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1278/1278 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 621/1202 %_win: 0.52, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 371/5010 %_win: 0.07, SFB: 0.07, U: 0]
| | | [P1 M:5 W/V: 1668/1668 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1544/1734 %_win: 0.89, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 1426/1607 %_win: 0.89, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 251/4885 %_win: 0.05, SFB: 0.05, U: 0]
| | | [P1 M:2 W/V: 1212/1212 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1302/1302 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 1067/1196 %_win: 0.89, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 1052/1174 %_win: 0.90, SFB: -1.00, U: 0]
| [P1 M:6 W/V: 17246/20005 %_win: 0.86, SFB: 0.66, U: 0]
| | [P2 M:5 W/V: 1704/5042 %_win: 0.34, SFB: 0.34, U: 0]
| | | [P1 M:2 W/V: 723/1250 %_win: 0.58, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1266/1266 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 690/1264 %_win: 0.55, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 658/1261 %_win: 0.52, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 408/4961 %_win: 0.08, SFB: 0.08, U: 0]
| | | [P1 M:0 W/V: 1444/1648 %_win: 0.88, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1674/1674 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1434/1638 %_win: 0.88, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 369/4871 %_win: 0.08, SFB: 0.08, U: 0]
| | | [P1 M:3 W/V: 1454/1646 %_win: 0.88, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1402/1579 %_win: 0.89, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1645/1645 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 278/5130 %_win: 0.05, SFB: 0.05, U: 0]
| | | [P1 M:0 W/V: 1130/1269 %_win: 0.89, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1257/1257 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1286/1286 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 1178/1317 %_win: 0.89, SFB: -1.00, U: 0]
| [P1 M:2 W/V: 17375/19998 %_win: 0.87, SFB: 0.75, U: 0]
| | [P2 M:5 W/V: 979/3997 %_win: 0.24, SFB: 0.24, U: 0]
| | | [P1 M:6 W/V: 489/804 %_win: 0.61, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 799/799 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 793/793 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 448/796 %_win: 0.56, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 489/804 %_win: 0.61, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 200/3979 %_win: 0.05, SFB: 0.05, U: 0]
| | | [P1 M:3 W/V: 954/1044 %_win: 0.91, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 978/978 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 986/986 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 860/970 %_win: 0.89, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 232/4130 %_win: 0.06, SFB: 0.06, U: 0]
| | | [P1 M:0 W/V: 918/1043 %_win: 0.88, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1042/1042 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1028/1028 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 909/1016 %_win: 0.89, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 227/3988 %_win: 0.06, SFB: 0.06, U: 0]
| | | [P1 M:0 W/V: 849/961 %_win: 0.88, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 902/1017 %_win: 0.89, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1029/1029 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 980/980 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 985/3903 %_win: 0.25, SFB: 0.25, U: 0]
| | | [P1 M:6 W/V: 401/739 %_win: 0.54, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 831/831 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 468/786 %_win: 0.60, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 449/777 %_win: 0.58, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 769/769 %_win: 1.00, SFB: -1.00, U: 0]
| [P1 M:3 W/V: 17203/19934 %_win: 0.86, SFB: 0.66, U: 0]
| | [P2 M:6 W/V: 380/4824 %_win: 0.08, SFB: 0.08, U: 0]
