| | | | [P2 M:0 W/V: 0/560 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 99/549 %_win: 0.18, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 369/4871 %_win: 0.08, SFB: 0.00, U: 0]
| | | [P1 M:3 W/V: 1454/1646 %_win: 0.88, SFB: 0.88, U: 0]
| | | | [P2 M:5 W/V: 192/824 %_win: 0.23, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 0/821 %_win: 0.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1402/1579 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:2 W/V: 88/546 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 89/488 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 0/544 %_win: 0.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1645/1645 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:2 W/V: 278/5130 %_win: 0.05, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 1130/1269 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:3 W/V: 0/409 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 74/441 %_win: 0.17, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 65/418 %_win: 0.16, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1257/1257 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 1286/1286 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 1178/1317 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:0 W/V: 0/420 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 69/444 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 70/452 %_win: 0.15, SFB: -1.00, U: 0]
| [P1 M:2 W/V: 17375/19998 %_win: 0.87, SFB: 1.00, U: 0]
| | [P2 M:5 W/V: 979/3997 %_win: 0.24, SFB: 0.00, U: 0]
