| [P1 M:6 W/V: 24176/24284 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 8/7152 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 2248/2256 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 8/1192 %_win: 0.01, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1063 %_win: 0.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 2448/2448 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 2447/2447 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:5 W/V: 12/7295 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 3827/3827 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 3455/3467 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1617 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 12/1849 %_win: 0.01, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 88/9836 %_win: 0.01, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 4/25 %_win: 0.16, SFB: 0.16, U: 0]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 21/21 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 9737/9782 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 12/3190 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 12/3189 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 21/3402 %_win: 0.01, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 6/28 %_win: 0.21, SFB: 0.21, U: 0]
| | | | [P2 M:4 W/V: 2/5 %_win: 0.40, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 19/19 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 0]
