| | | | | [P1 M:0 W/V: 274/274 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 1312/1312 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:6 W/V: 7/3809 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 1312/1312 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:5 W/V: 1177/1184 %_win: 0.99, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 7/634 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 270/277 %_win: 0.97, SFB: 0.97, U: 0]
| | | | | [P1 M:4 W/V: 356/356 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/549 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 274/274 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 274/274 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 1312/1312 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:5 W/V: 23898/24009 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 11/7139 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 2469/2469 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 2468/2468 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 2190/2201 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 11/1186 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 509/519 %_win: 0.98, SFB: 0.98, U: 0]
| | | | | [P1 M:4 W/V: 666/666 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1014 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 507/507 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 506/506 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:0 W/V: 88/9694 %_win: 0.01, SFB: 0.00, U: 0]
