[P2 M:-1 W/V: 384/100000 %_win: 0.00, SFB: 0.00, U: 0]
| [P1 M:0 W/V: 33175/33175 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:4 W/V: 18367/18532 %_win: 0.99, SFB: 0.98, U: 0]
| | [P2 M:4 W/V: 38/4596 %_win: 0.01, SFB: 0.01, U: 0]
| | | [P1 M:0 W/V: 2272/2272 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 2272/2272 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 6/25 %_win: 0.24, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 7/26 %_win: 0.27, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 113/6317 %_win: 0.02, SFB: 0.02, U: 0]
| | | [P1 M:5 W/V: 6/26 %_win: 0.23, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 1369/1441 %_win: 0.95, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 4823/4823 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 6/26 %_win: 0.23, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 7/3809 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 1312/1312 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 1177/1184 %_win: 0.99, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 1312/1312 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 7/3809 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 1312/1312 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1177/1184 %_win: 0.99, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 1312/1312 %_win: 1.00, SFB: -1.00, U: 0]
| [P1 M:5 W/V: 23898/24009 %_win: 1.00, SFB: 0.99, U: 0]
| | [P2 M:4 W/V: 11/7139 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 2469/2469 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 2468/2468 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 2190/2201 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 88/9694 %_win: 0.01, SFB: 0.01, U: 0]
| | | [P1 M:4 W/V: 6/28 %_win: 0.21, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 3/23 %_win: 0.13, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 9596/9642 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 12/7175 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 3766/3766 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 3396/3408 %_win: 1.00, SFB: -1.00, U: 0]
| [P1 M:6 W/V: 24176/24284 %_win: 1.00, SFB: 0.99, U: 0]
| | [P2 M:4 W/V: 8/7152 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 2248/2256 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 2448/2448 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 2447/2447 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 12/7295 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 3827/3827 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 3455/3467 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 88/9836 %_win: 0.01, SFB: 0.01, U: 0]
| | | [P1 M:5 W/V: 4/25 %_win: 0.16, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 9737/9782 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 6/28 %_win: 0.21, SFB: -1.00, U: 0]
