[P2 M:-1 W/V: 472/100000 %_win: 0.00, SFB: 0.00, U: 0]
| [P1 M:2 W/V: 95551/95551 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:1 W/V: 162/232 %_win: 0.70, SFB: 0.70, U: 0]
| | [P2 M:2 W/V: 59/137 %_win: 0.43, SFB: 0.30, U: 0]
| | | [P1 M:4 W/V: 16/31 %_win: 0.52, SFB: 0.52, U: 0]
| | | [P1 M:0 W/V: 5.5/17 %_win: 0.32, SFB: 0.32, U: 0]
| | | [P1 M:2 W/V: 42.5/61 %_win: 0.70, SFB: 0.70, U: 0]
| | | [P1 M:6 W/V: 13/27 %_win: 0.48, SFB: 0.48, U: 0]
| | [P2 M:0 W/V: 6/37 %_win: 0.16, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 13/13 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 7.5/9 %_win: 0.83, SFB: 0.83, U: 0]
| | | [P1 M:4 W/V: 3/6 %_win: 0.50, SFB: 0.50, U: 0]
| | | [P1 M:0 W/V: 6.5/8 %_win: 0.81, SFB: 0.81, U: 0]
| | [P2 M:6 W/V: 1.5/26 %_win: 0.06, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 5.5/6 %_win: 0.92, SFB: 0.92, U: 0]
| | | [P1 M:2 W/V: 7/7 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 4/5 %_win: 0.80, SFB: 0.80, U: 0]
| | | [P1 M:6 W/V: 7/7 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 3.5/31 %_win: 0.11, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 9/10 %_win: 0.90, SFB: 0.90, U: 0]
| | | [P1 M:2 W/V: 12/12 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 6.5/8 %_win: 0.81, SFB: 0.81, U: 0]
| [P1 M:4 W/V: 224/303 %_win: 0.74, SFB: 0.72, U: 0]
| | [P2 M:2 W/V: 69/181 %_win: 0.38, SFB: 0.28, U: 0]
| | | [P1 M:2 W/V: 51/71 %_win: 0.72, SFB: 0.72, U: 0]
| | | [P1 M:1 W/V: 10/24 %_win: 0.42, SFB: 0.42, U: 0]
| | | [P1 M:6 W/V: 27.5/45 %_win: 0.61, SFB: 0.61, U: 0]
| | | [P1 M:0 W/V: 23/40 %_win: 0.57, SFB: 0.57, U: 0]
| | [P2 M:6 W/V: 2.5/38 %_win: 0.07, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 11/11 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 7/8 %_win: 0.88, SFB: 0.88, U: 0]
| | | [P1 M:6 W/V: 11/11 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:1 W/V: 5.5/7 %_win: 0.79, SFB: 0.79, U: 0]
| | [P2 M:0 W/V: 3.5/41 %_win: 0.09, SFB: 0.00, U: 0]
| | | [P1 M:6 W/V: 12/12 %_win: 1.00, SFB: 1.00, U: 0]
