[P2 M:-1 W/V: 472/100000 %_win: 0.00, SFB: 0.00, U: 0]
| [P1 M:2 W/V: 95551/95551 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:1 W/V: 162/232 %_win: 0.70, SFB: 0.60, U: 0]
| | [P2 M:2 W/V: 59/137 %_win: 0.43, SFB: 0.40, U: 0]
| | | [P1 M:4 W/V: 16/31 %_win: 0.52, SFB: 0.31, U: 0]
| | | | [P2 M:2 W/V: 11/16 %_win: 0.69, SFB: 0.69, U: 0]
| | | | [P2 M:0 W/V: 2.5/8 %_win: 0.31, SFB: 0.31, U: 0]
| | | | [P2 M:6 W/V: 1.5/6 %_win: 0.25, SFB: 0.25, U: 0]
| | | [P1 M:0 W/V: 5.5/17 %_win: 0.32, SFB: 0.08, U: 0]
| | | | [P2 M:2 W/V: 5.5/6 %_win: 0.92, SFB: 0.92, U: 0]
| | | | [P2 M:6 W/V: 2/4 %_win: 0.50, SFB: 0.50, U: 1]
| | | | [P2 M:0 W/V: 2.5/4 %_win: 0.62, SFB: 0.62, U: 1]
| | | | [P2 M:4 W/V: 0.5/2 %_win: 0.25, SFB: 0.25, U: 2]
| | | [P1 M:2 W/V: 42.5/61 %_win: 0.70, SFB: 0.60, U: 0]
| | | | [P2 M:4 W/V: 4.5/15 %_win: 0.30, SFB: 0.30, U: 0]
| | | | [P2 M:2 W/V: 2/12 %_win: 0.17, SFB: 0.17, U: 0]
| | | | [P2 M:6 W/V: 2.5/12 %_win: 0.21, SFB: 0.21, U: 0]
| | | | [P2 M:0 W/V: 8.5/21 %_win: 0.40, SFB: 0.40, U: 0]
| | | [P1 M:6 W/V: 13/27 %_win: 0.48, SFB: 0.30, U: 0]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 1]
| | | | [P2 M:6 W/V: 7/10 %_win: 0.70, SFB: 0.70, U: 0]
| | | | [P2 M:0 W/V: 1.5/5 %_win: 0.30, SFB: 0.30, U: 0]
| | | | [P2 M:2 W/V: 4.5/8 %_win: 0.56, SFB: 0.56, U: 0]
| | [P2 M:0 W/V: 6/37 %_win: 0.16, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 13/13 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 7.5/9 %_win: 0.83, SFB: 0.50, U: 0]
| | | | [P2 M:2 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 3]
| | | | [P2 M:6 W/V: 0.5/2 %_win: 0.25, SFB: 0.25, U: 3]
| | | | [P2 M:4 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 2]
| | | [P1 M:4 W/V: 3/6 %_win: 0.50, SFB: 0.00, U: 0]
| | | | [P2 M:2 W/V: 3/3 %_win: 1.00, SFB: 1.00, U: 1]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | [P1 M:0 W/V: 6.5/8 %_win: 0.81, SFB: 0.50, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/2 %_win: 0.25, SFB: 0.25, U: 3]
| | | | [P2 M:2 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 3]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | [P2 M:6 W/V: 1.5/26 %_win: 0.06, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 5.5/6 %_win: 0.92, SFB: 0.75, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 2]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/2 %_win: 0.25, SFB: 0.25, U: 2]
| | | [P1 M:2 W/V: 7/7 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 4/5 %_win: 0.80, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 4]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 4]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 4]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | [P1 M:6 W/V: 7/7 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 3.5/31 %_win: 0.11, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 9/10 %_win: 0.90, SFB: 0.75, U: 0]
| | | | [P2 M:0 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 1]
| | | | [P2 M:2 W/V: 1/4 %_win: 0.25, SFB: 0.25, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 2]
| | | [P1 M:2 W/V: 12/12 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 6.5/8 %_win: 0.81, SFB: 0.83, U: 0]
| | | | [P2 M:6 W/V: 0.5/3 %_win: 0.17, SFB: 0.17, U: 1]
| | | | [P2 M:2 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 2]
| | | | [P2 M:0 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 2]
| [P1 M:4 W/V: 224/303 %_win: 0.74, SFB: 0.69, U: 0]
| | [P2 M:2 W/V: 69/181 %_win: 0.38, SFB: 0.31, U: 0]
| | | [P1 M:2 W/V: 51/71 %_win: 0.72, SFB: 0.69, U: 0]
| | | | [P2 M:6 W/V: 5.5/18 %_win: 0.31, SFB: 0.31, U: 0]
| | | | [P2 M:1 W/V: 5.5/19 %_win: 0.29, SFB: 0.29, U: 0]
| | | | [P2 M:2 W/V: 2/13 %_win: 0.15, SFB: 0.15, U: 0]
| | | | [P2 M:0 W/V: 6/20 %_win: 0.30, SFB: 0.30, U: 0]
| | | [P1 M:1 W/V: 10/24 %_win: 0.42, SFB: 0.21, U: 0]
| | | | [P2 M:0 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 1]
| | | | [P2 M:6 W/V: 2/6 %_win: 0.33, SFB: 0.33, U: 0]
| | | | [P2 M:2 W/V: 11/14 %_win: 0.79, SFB: 0.79, U: 0]
| | | [P1 M:6 W/V: 27.5/45 %_win: 0.61, SFB: 0.33, U: 0]
| | | | [P2 M:2 W/V: 1.5/8 %_win: 0.19, SFB: 0.19, U: 0]
| | | | [P2 M:6 W/V: 16/24 %_win: 0.67, SFB: 0.67, U: 0]
| | | | [P2 M:0 W/V: 0/6 %_win: 0.00, SFB: 0.00, U: 0]
| | | | [P2 M:1 W/V: 0/6 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 23/40 %_win: 0.57, SFB: 0.38, U: 0]
| | | | [P2 M:1 W/V: 4/9 %_win: 0.44, SFB: 0.44, U: 0]
| | | | [P2 M:0 W/V: 3/9 %_win: 0.33, SFB: 0.33, U: 0]
| | | | [P2 M:2 W/V: 10/16 %_win: 0.62, SFB: 0.62, U: 0]
| | | | [P2 M:6 W/V: 0/5 %_win: 0.00, SFB: 0.00, U: 0]
| | [P2 M:6 W/V: 2.5/38 %_win: 0.07, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 11/11 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 7/8 %_win: 0.88, SFB: 0.50, U: 0]
| | | | [P2 M:0 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:2 W/V: 0/2 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:6 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 3]
| | | | [P2 M:1 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | [P1 M:6 W/V: 11/11 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:1 W/V: 5.5/7 %_win: 0.79, SFB: 0.50, U: 0]
| | | | [P2 M:2 W/V: 1/2 %_win: 0.50, SFB: 0.50, U: 2]
