[P2 M:-1 W/V: 69351/100000 %_win: 0.69, SFB: 0.69, U: 0]
| [P1 M:6 W/V: 13771/43799 %_win: 0.31, SFB: 0.31, U: 0]
| | [P2 M:4 W/V: 31/108 %_win: 0.29, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 1945/3000 %_win: 0.65, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 6884/10027 %_win: 0.69, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 3320/4976 %_win: 0.67, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 11421/16305 %_win: 0.70, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 6426/9382 %_win: 0.68, SFB: -1.00, U: 0]
| [P1 M:1 W/V: 77/567 %_win: 0.14, SFB: 0.14, U: 0]
| | [P2 M:0 W/V: 33/48 %_win: 0.69, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 43/60 %_win: 0.72, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 11/24 %_win: 0.46, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 345/345 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 27/42 %_win: 0.64, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 31/47 %_win: 0.66, SFB: -1.00, U: 0]
| [P1 M:0 W/V: 1879/6738 %_win: 0.28, SFB: 0.28, U: 0]
| | [P2 M:1 W/V: 358/559 %_win: 0.64, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 417/639 %_win: 0.65, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 2978/3854 %_win: 0.77, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 449/683 %_win: 0.66, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 637/936 %_win: 0.68, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 20/66 %_win: 0.30, SFB: -1.00, U: 0]
| [P1 M:5 W/V: 10219/32856 %_win: 0.31, SFB: 0.31, U: 0]
| | [P2 M:4 W/V: 30/103 %_win: 0.29, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 2779/4127 %_win: 0.67, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 2616/3897 %_win: 0.67, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 4000/5842 %_win: 0.68, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 10197/14426 %_win: 0.71, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 3015/4460 %_win: 0.68, SFB: -1.00, U: 0]
| [P1 M:2 W/V: 4636/15515 %_win: 0.30, SFB: 0.30, U: 0]
| | [P2 M:1 W/V: 1107/1670 %_win: 0.66, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 1357/2017 %_win: 0.67, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 4486/6257 %_win: 0.72, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 3908/5494 %_win: 0.71, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 20/76 %_win: 0.26, SFB: -1.00, U: 0]
| [P1 M:4 W/V: 67/525 %_win: 0.13, SFB: 0.13, U: 0]
| | [P2 M:1 W/V: 11/25 %_win: 0.44, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 7/20 %_win: 0.35, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 6/18 %_win: 0.33, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 415/415 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 8/21 %_win: 0.38, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 11/25 %_win: 0.44, SFB: -1.00, U: 0]
